===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-11-21 15:14:14
count workspace : e:\workspace-on_the_way\mp.jicu.vip
total files : 249
total code lines : 16174
total comment lines : 603
total blank lines : 950

src\api\article.js, code is 36, comment is 0, blank is 5.
src\api\commodity.js, code is 22, comment is 0, blank is 3.
src\api\discount.js, code is 15, comment is 0, blank is 2.
src\api\login.js, code is 24, comment is 0, blank is 3.
src\api\qiniu.js, code is 7, comment is 1, blank is 1.
src\api\qualification.js, code is 8, comment is 0, blank is 1.
src\api\remoteSearch.js, code is 8, comment is 0, blank is 1.
src\api\shop.js, code is 85, comment is 0, blank is 12.
src\api\transaction.js, code is 8, comment is 0, blank is 1.
src\api\user.js, code is 15, comment is 0, blank is 2.
src\App.vue, code is 10, comment is 0, blank is 1.
src\assets\401_images\401.gif, it is a binary file.
src\assets\404_images\404.png, it is a binary file.
src\assets\404_images\404_cloud.png, it is a binary file.
src\assets\custom-theme\fonts\element-icons.ttf, it is a binary file.
src\assets\custom-theme\fonts\element-icons.woff, it is a binary file.
src\assets\custom-theme\index.css, code is 1, comment is 0, blank is 0.
src\components\BackToTop\index.vue, code is 110, comment is 0, blank is 6.
src\components\Breadcrumb\index.vue, code is 51, comment is 0, blank is 3.
src\components\Charts\keyboard.vue, code is 153, comment is 0, blank is 3.
src\components\Charts\lineMarker.vue, code is 222, comment is 0, blank is 5.
src\components\Charts\mixChart.vue, code is 265, comment is 0, blank is 6.
src\components\Charts\mixins\resize.js, code is 25, comment is 0, blank is 3.
src\components\DndList\index.vue, code is 149, comment is 0, blank is 9.
src\components\Dropzone\index.vue, code is 265, comment is 11, blank is 21.
src\components\ErrorLog\index.vue, code is 82, comment is 0, blank is 4.
src\components\GithubCorner\index.vue, code is 48, comment is 0, blank is 3.
src\components\Hamburger\index.vue, code is 56, comment is 0, blank is 3.
src\components\ImageCropper\index.vue, code is 1332, comment is 99, blank is 11.
src\components\ImageCropper\utils\data2blob.js, code is 11, comment is 8, blank is 0.
src\components\ImageCropper\utils\effectRipple.js, code is 32, comment is 10, blank is 0.
src\components\ImageCropper\utils\language.js, code is 230, comment is 0, blank is 2.
src\components\ImageCropper\utils\mimes.js, code is 7, comment is 0, blank is 0.
src\components\ImagePreview\galleryPreview.vue, code is 47, comment is 0, blank is 2.
src\components\ImagePreview\imagePreview.vue, code is 41, comment is 0, blank is 3.
src\components\JsonEditor\index.vue, code is 67, comment is 1, blank is 4.
src\components\Kanban\index.vue, code is 84, comment is 0, blank is 5.
src\components\LangSelect\index.vue, code is 37, comment is 0, blank is 3.
src\components\MarkdownEditor\index.vue, code is 113, comment is 1, blank is 9.
src\components\MDinput\index.vue, code is 335, comment is 15, blank is 6.
src\components\PanThumb\index.vue, code is 128, comment is 0, blank is 12.
src\components\Screenfull\index.vue, code is 75, comment is 0, blank is 3.
src\components\ScrollPane\index.vue, code is 51, comment is 3, blank is 3.
src\components\Share\dropdownMenu.vue, code is 98, comment is 1, blank is 2.
src\components\SizeSelect\index.vue, code is 48, comment is 1, blank is 6.
src\components\Sticky\index.vue, code is 83, comment is 0, blank is 1.
src\components\SvgIcon\index.vue, code is 41, comment is 0, blank is 2.
src\components\TextHoverEffect\Mallki.vue, code is 100, comment is 1, blank is 12.
src\components\ThemePicker\index.vue, code is 124, comment is 5, blank is 20.
src\components\Tinymce\components\editorImage.vue, code is 99, comment is 1, blank is 3.
src\components\Tinymce\index.vue, code is 167, comment is 35, blank is 3.
src\components\Tinymce\plugins.js, code is 2, comment is 3, blank is 2.
src\components\Tinymce\toolbar.js, code is 2, comment is 2, blank is 2.
src\components\TreeTable\eval.js, code is 23, comment is 5, blank is 1.
src\components\TreeTable\index.vue, code is 116, comment is 8, blank is 3.
src\components\TreeTable\readme.md, code is 70, comment is 4, blank is 19.
src\components\Upload\singleImage.vue, code is 127, comment is 1, blank is 4.
src\components\Upload\singleImage2.vue, code is 124, comment is 0, blank is 3.
src\components\Upload\singleImage3.vue, code is 151, comment is 1, blank is 3.
src\components\UploadExcel\index.vue, code is 138, comment is 8, blank is 5.
src\directive\clipboard\clipboard.js, code is 47, comment is 3, blank is 1.
src\directive\clipboard\index.js, code is 10, comment is 1, blank is 3.
src\directive\el-dragDialog\drag.js, code is 56, comment is 7, blank is 14.
src\directive\el-dragDialog\index.js, code is 10, comment is 1, blank is 3.
src\directive\permission\index.js, code is 10, comment is 1, blank is 3.
src\directive\permission\permission.js, code is 18, comment is 0, blank is 5.
src\directive\sticky.js, code is 72, comment is 6, blank is 13.
src\directive\waves\index.js, code is 10, comment is 1, blank is 3.
src\directive\waves\waves.css, code is 25, comment is 0, blank is 1.
src\directive\waves\waves.js, code is 40, comment is 3, blank is 2.
src\errorLog.js, code is 15, comment is 3, blank is 1.
src\filters\index.js, code is 50, comment is 2, blank is 5.
src\icons\index.js, code is 6, comment is 2, blank is 2.
src\icons\svg\404.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\bug.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\chart.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\clipboard.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\component.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\dashboard.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\documentation.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\drag.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\edit.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\email.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\example.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\excel.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\eye.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\form.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\guide 2.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\guide.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\icon.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\international.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\language.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\link.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\list.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\lock.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\message.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\money.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\nested.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\password.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\people.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\peoples.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\qq.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\shopping.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\size.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\star.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\tab.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\table.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\theme.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\tree.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\user.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\wechat.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\zip.svg, code is 1, comment is 0, blank is 0.
src\icons\svgo.yml, code is 18, comment is 0, blank is 4.
src\lang\en.js, code is 155, comment is 0, blank is 0.
src\lang\index.js, code is 23, comment is 5, blank is 4.
src\lang\zh.js, code is 188, comment is 0, blank is 2.
src\main.js, code is 30, comment is 10, blank is 11.
src\mock\article.js, code is 62, comment is 0, blank is 8.
src\mock\index.js, code is 21, comment is 7, blank is 5.
src\mock\login.js, code is 42, comment is 2, blank is 3.
src\mock\remoteSearch.js, code is 21, comment is 0, blank is 3.
src\mock\transaction.js, code is 20, comment is 0, blank is 3.
src\permission.js, code is 53, comment is 24, blank is 5.
src\router\index.js, code is 374, comment is 25, blank is 23.
src\router\modules\charts.js, code is 32, comment is 1, blank is 3.
src\router\modules\components.js, code is 92, comment is 1, blank is 3.
src\router\modules\nested.js, code is 62, comment is 2, blank is 3.
src\router\modules\table.js, code is 50, comment is 1, blank is 2.
src\store\getters.js, code is 20, comment is 0, blank is 0.
src\store\index.js, code is 20, comment is 0, blank is 3.
src\store\modules\app.js, code is 57, comment is 0, blank is 2.
src\store\modules\errorLog.js, code is 16, comment is 0, blank is 1.
src\store\modules\permission.js, code is 49, comment is 10, blank is 6.
src\store\modules\tagsView.js, code is 152, comment is 0, blank is 10.
src\store\modules\user.js, code is 138, comment is 21, blank is 11.
src\styles\btn.scss, code is 83, comment is 0, blank is 11.
src\styles\element-ui.scss, code is 66, comment is 5, blank is 11.
src\styles\index.scss, code is 162, comment is 2, blank is 29.
src\styles\mixin.scss, code is 56, comment is 0, blank is 4.
src\styles\sidebar.scss, code is 117, comment is 4, blank is 1.
src\styles\transition.scss, code is 35, comment is 4, blank is 8.
src\styles\variables.scss, code is 11, comment is 1, blank is 1.
src\utils\auth.js, code is 19, comment is 0, blank is 6.
src\utils\clipboard.js, code is 33, comment is 0, blank is 3.
src\utils\createUniqueString.js, code is 5, comment is 3, blank is 0.
src\utils\i18n.js, code is 8, comment is 2, blank is 1.
src\utils\index.js, code is 112, comment is 11, blank is 10.
src\utils\openWindow.js, code is 12, comment is 9, blank is 5.
src\utils\permission.js, code is 17, comment is 5, blank is 3.
src\utils\request.js, code is 64, comment is 15, blank is 5.
src\utils\validate.js, code is 6, comment is 4, blank is 2.
src\vendor\Blob.js, code is 148, comment is 20, blank is 9.
src\vendor\Export2Excel.js, code is 169, comment is 15, blank is 22.
src\vendor\Export2Zip.js, code is 22, comment is 1, blank is 1.
src\views\charts\keyboard.vue, code is 19, comment is 0, blank is 4.
src\views\charts\line.vue, code is 19, comment is 0, blank is 4.
src\views\charts\mixChart.vue, code is 19, comment is 0, blank is 4.
src\views\clipboard\index.vue, code is 42, comment is 2, blank is 3.
src\views\commodity\index.vue, code is 199, comment is 2, blank is 7.
src\views\components-demo\avatarUpload.vue, code is 52, comment is 0, blank is 7.
src\views\components-demo\backToTop.vue, code is 147, comment is 2, blank is 3.
src\views\components-demo\countTo.vue, code is 202, comment is 0, blank is 11.
src\views\components-demo\dndList.vue, code is 36, comment is 0, blank is 3.
src\views\components-demo\dragDialog.vue, code is 56, comment is 2, blank is 2.
src\views\components-demo\dragKanban.vue, code is 66, comment is 0, blank is 2.
src\views\components-demo\dropzone.vue, code is 28, comment is 0, blank is 3.
src\views\components-demo\jsonEditor.vue, code is 27, comment is 0, blank is 5.
src\views\components-demo\markdown.vue, code is 42, comment is 0, blank is 6.
src\views\components-demo\mixin.vue, code is 144, comment is 1, blank is 9.
src\views\components-demo\splitpane.vue, code is 3, comment is 0, blank is 0.
src\views\components-demo\sticky.vue, code is 120, comment is 0, blank is 8.
src\views\components-demo\tinymce.vue, code is 32, comment is 0, blank is 4.
src\views\dashboard\admin\components\BarChart.vue, code is 102, comment is 3, blank is 4.
src\views\dashboard\admin\components\BoxCard.vue, code is 113, comment is 0, blank is 5.
src\views\dashboard\admin\components\LineChart.vue, code is 150, comment is 2, blank is 5.
src\views\dashboard\admin\components\PanelGroup.vue, code is 135, comment is 0, blank is 3.
src\views\dashboard\admin\components\PieChart.vue, code is 81, comment is 1, blank is 3.
src\views\dashboard\admin\components\RaddarChart.vue, code is 116, comment is 3, blank is 4.
src\views\dashboard\admin\components\TodoList\index.scss, code is 309, comment is 11, blank is 0.
src\views\dashboard\admin\components\TodoList\index.vue, code is 122, comment is 1, blank is 3.
src\views\dashboard\admin\components\TodoList\Todo.vue, code is 78, comment is 0, blank is 1.
src\views\dashboard\admin\components\TransactionTable.vue, code is 51, comment is 0, blank is 2.
src\views\dashboard\admin\index.vue, code is 101, comment is 0, blank is 10.
src\views\dashboard\editor\index.vue, code is 51, comment is 1, blank is 3.
src\views\dashboard\index.vue, code is 28, comment is 0, blank is 3.
src\views\discount\index.vue, code is 115, comment is 1, blank is 6.
src\views\documentation\index.vue, code is 47, comment is 0, blank is 2.
src\views\errorLog\errorTestA.vue, code is 12, comment is 0, blank is 1.
src\views\errorLog\errorTestB.vue, code is 10, comment is 1, blank is 1.
src\views\errorLog\index.vue, code is 30, comment is 0, blank is 3.
src\views\errorPage\401.vue, code is 88, comment is 0, blank is 3.
src\views\errorPage\404.vue, code is 225, comment is 0, blank is 3.
src\views\example\components\ArticleDetail.vue, code is 236, comment is 8, blank is 15.
src\views\example\components\Dropdown\Comment.vue, code is 35, comment is 0, blank is 1.
src\views\example\components\Dropdown\index.js, code is 3, comment is 0, blank is 0.
src\views\example\components\Dropdown\Platform.vue, code is 45, comment is 0, blank is 1.
src\views\example\components\Dropdown\SourceUrl.vue, code is 35, comment is 0, blank is 1.
src\views\example\components\Warning.vue, code is 9, comment is 0, blank is 1.
src\views\example\create.vue, code is 10, comment is 0, blank is 3.
src\views\example\edit.vue, code is 10, comment is 0, blank is 3.
src\views\example\list.vue, code is 114, comment is 0, blank is 13.
src\views\excel\exportExcel.vue, code is 102, comment is 0, blank is 6.
src\views\excel\selectExcel.vue, code is 100, comment is 0, blank is 2.
src\views\excel\uploadExcel.vue, code is 38, comment is 0, blank is 4.
src\views\guide\defineSteps.js, code is 51, comment is 0, blank is 1.
src\views\guide\index.vue, code is 32, comment is 2, blank is 2.
src\views\i18n-demo\index.vue, code is 137, comment is 1, blank is 4.
src\views\i18n-demo\local.js, code is 42, comment is 0, blank is 1.
src\views\layout\components\AppMain.vue, code is 30, comment is 1, blank is 3.
src\views\layout\components\index.js, code is 4, comment is 0, blank is 0.
src\views\layout\components\Navbar.vue, code is 135, comment is 1, blank is 11.
src\views\layout\components\Sidebar\index.vue, code is 30, comment is 0, blank is 3.
src\views\layout\components\Sidebar\Item.vue, code is 27, comment is 0, blank is 2.
src\views\layout\components\Sidebar\SidebarItem.vue, code is 93, comment is 4, blank is 10.
src\views\layout\components\TagsView.vue, code is 224, comment is 5, blank is 6.
src\views\layout\Layout.vue, code is 68, comment is 0, blank is 3.
src\views\layout\mixin\ResizeHandler.js, code is 38, comment is 0, blank is 3.
src\views\login\authredirect.vue, code is 10, comment is 0, blank is 0.
src\views\login\index.vue, code is 229, comment is 21, blank is 17.
